,function,parameterLengths,seconds,lengthOfReturned,param1,param2
0,intersection,"[1000, 1000]",0.1072087287902832,8,1000,1000
1,intersection,"[1000, 1000]",0.09291267395019531,5,1000,1000
2,intersection,"[1000, 1000]",0.09122157096862793,17,1000,1000
3,intersection,"[1000, 1000]",0.091949462890625,15,1000,1000
4,intersection,"[1000, 1000]",0.09151482582092285,13,1000,1000
5,intersection,"[1000, 1000]",0.09278130531311035,5,1000,1000
6,intersection,"[1000, 1000]",0.09151482582092285,8,1000,1000
7,intersection,"[1000, 1000]",0.09114217758178711,11,1000,1000
8,intersection,"[1000, 1000]",0.10068464279174805,10,1000,1000
9,intersection,"[1000, 1000]",0.09145641326904297,8,1000,1000
10,intersection,"[1000, 2000]",0.18168067932128906,21,1000,2000
11,intersection,"[1000, 2000]",0.1793670654296875,17,1000,2000
12,intersection,"[1000, 2000]",0.18031716346740723,20,1000,2000
13,intersection,"[1000, 2000]",0.18646979331970215,16,1000,2000
14,intersection,"[1000, 2000]",0.1838381290435791,24,1000,2000
15,intersection,"[1000, 2000]",0.17954516410827637,22,1000,2000
16,intersection,"[1000, 2000]",0.18097281455993652,13,1000,2000
17,intersection,"[1000, 2000]",0.18385648727416992,24,1000,2000
18,intersection,"[1000, 2000]",0.1816253662109375,21,1000,2000
19,intersection,"[1000, 2000]",0.18082189559936523,16,1000,2000
20,intersection,"[1000, 3000]",0.2705423831939697,27,1000,3000
21,intersection,"[1000, 3000]",0.27337145805358887,29,1000,3000
22,intersection,"[1000, 3000]",0.27028751373291016,28,1000,3000
23,intersection,"[1000, 3000]",0.26961612701416016,28,1000,3000
24,intersection,"[1000, 3000]",0.27072906494140625,23,1000,3000
25,intersection,"[1000, 3000]",0.27419161796569824,35,1000,3000
26,intersection,"[1000, 3000]",0.26925182342529297,39,1000,3000
27,intersection,"[1000, 3000]",0.27366137504577637,29,1000,3000
28,intersection,"[1000, 3000]",0.27116870880126953,29,1000,3000
29,intersection,"[1000, 3000]",0.2755589485168457,28,1000,3000
30,intersection,"[1000, 4000]",0.35634279251098633,41,1000,4000
31,intersection,"[1000, 4000]",0.35711073875427246,34,1000,4000
32,intersection,"[1000, 4000]",0.36261796951293945,35,1000,4000
33,intersection,"[1000, 4000]",0.37036800384521484,31,1000,4000
34,intersection,"[1000, 4000]",0.35550737380981445,48,1000,4000
35,intersection,"[1000, 4000]",0.35960936546325684,38,1000,4000
36,intersection,"[1000, 4000]",0.3607926368713379,41,1000,4000
37,intersection,"[1000, 4000]",0.3608376979827881,38,1000,4000
38,intersection,"[1000, 4000]",0.36714696884155273,38,1000,4000
39,intersection,"[1000, 4000]",0.3664569854736328,31,1000,4000
40,intersection,"[1000, 5000]",0.46042895317077637,43,1000,5000
41,intersection,"[1000, 5000]",0.45011019706726074,39,1000,5000
42,intersection,"[1000, 5000]",0.4476773738861084,41,1000,5000
43,intersection,"[1000, 5000]",0.4522867202758789,36,1000,5000
44,intersection,"[1000, 5000]",0.45023655891418457,51,1000,5000
45,intersection,"[1000, 5000]",0.4466733932495117,51,1000,5000
46,intersection,"[1000, 5000]",0.45041966438293457,52,1000,5000
47,intersection,"[1000, 5000]",0.4475979804992676,51,1000,5000
48,intersection,"[1000, 5000]",0.45263218879699707,39,1000,5000
49,intersection,"[1000, 5000]",0.44855666160583496,62,1000,5000
50,intersection,"[1000, 6000]",0.5417501926422119,57,1000,6000
51,intersection,"[1000, 6000]",0.5315783023834229,59,1000,6000
52,intersection,"[1000, 6000]",0.5324902534484863,60,1000,6000
53,intersection,"[1000, 6000]",0.5342428684234619,50,1000,6000
54,intersection,"[1000, 6000]",0.541334867477417,55,1000,6000
55,intersection,"[1000, 6000]",0.536278486251831,56,1000,6000
56,intersection,"[1000, 6000]",0.5365729331970215,60,1000,6000
57,intersection,"[1000, 6000]",0.5336589813232422,55,1000,6000
58,intersection,"[1000, 6000]",0.5286974906921387,74,1000,6000
59,intersection,"[1000, 6000]",0.532355546951294,51,1000,6000
60,intersection,"[1000, 7000]",0.6151449680328369,78,1000,7000
61,intersection,"[1000, 7000]",0.6178600788116455,76,1000,7000
62,intersection,"[1000, 7000]",0.6199064254760742,59,1000,7000
63,intersection,"[1000, 7000]",0.6232514381408691,64,1000,7000
64,intersection,"[1000, 7000]",0.6647677421569824,71,1000,7000
65,intersection,"[1000, 7000]",0.6239883899688721,61,1000,7000
66,intersection,"[1000, 7000]",0.6207866668701172,64,1000,7000
67,intersection,"[1000, 7000]",0.6137905120849609,77,1000,7000
68,intersection,"[1000, 7000]",0.6137440204620361,77,1000,7000
69,intersection,"[1000, 7000]",0.632213830947876,68,1000,7000
70,intersection,"[1000, 8000]",0.7151370048522949,76,1000,8000
71,intersection,"[1000, 8000]",0.7168724536895752,80,1000,8000
72,intersection,"[1000, 8000]",0.7146046161651611,68,1000,8000
73,intersection,"[1000, 8000]",0.706979513168335,69,1000,8000
74,intersection,"[1000, 8000]",0.7122728824615479,60,1000,8000
75,intersection,"[1000, 8000]",0.7049839496612549,68,1000,8000
76,intersection,"[1000, 8000]",0.7065410614013672,66,1000,8000
77,intersection,"[1000, 8000]",0.703312873840332,76,1000,8000
78,intersection,"[1000, 8000]",0.6986875534057617,88,1000,8000
79,intersection,"[1000, 8000]",0.7040238380432129,80,1000,8000
80,intersection,"[1000, 9000]",0.8629589080810547,80,1000,9000
81,intersection,"[1000, 9000]",0.7802774906158447,96,1000,9000
82,intersection,"[1000, 9000]",0.78778076171875,88,1000,9000
83,intersection,"[1000, 9000]",0.7831864356994629,99,1000,9000
84,intersection,"[1000, 9000]",0.7816159725189209,98,1000,9000
85,intersection,"[1000, 9000]",0.7958047389984131,96,1000,9000
86,intersection,"[1000, 9000]",0.7972550392150879,72,1000,9000
87,intersection,"[1000, 9000]",0.7941067218780518,85,1000,9000
88,intersection,"[1000, 9000]",0.7810394763946533,95,1000,9000
89,intersection,"[1000, 9000]",0.8297407627105713,93,1000,9000
90,intersection,"[1000, 10000]",0.8913300037384033,84,1000,10000
91,intersection,"[1000, 10000]",0.8783924579620361,91,1000,10000
92,intersection,"[1000, 10000]",0.8693153858184814,90,1000,10000
93,intersection,"[1000, 10000]",0.8763153553009033,96,1000,10000
94,intersection,"[1000, 10000]",0.8778109550476074,98,1000,10000
