,function,parameterLengths,seconds,returned,param1,param2
0,jump_sorted,"[1000, <class 'int'>]",1.8835067749023438e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
1,jump_sorted,"[1000, <class 'int'>]",9.775161743164062e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
2,jump_sorted,"[1000, <class 'int'>]",6.67572021484375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
3,jump_sorted,"[1000, <class 'int'>]",5.4836273193359375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
4,jump_sorted,"[1000, <class 'int'>]",1.0013580322265625e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
5,jump_sorted,"[1000, <class 'int'>]",7.62939453125e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
6,jump_sorted,"[1000, <class 'int'>]",1.1205673217773438e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
7,jump_sorted,"[1000, <class 'int'>]",7.62939453125e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
8,jump_sorted,"[1000, <class 'int'>]",1.049041748046875e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
9,jump_sorted,"[1000, <class 'int'>]",5.9604644775390625e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
10,jump_sorted,"[1000, <class 'int'>]",3.5762786865234375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
11,jump_sorted,"[1000, <class 'int'>]",1.1205673217773438e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
12,jump_sorted,"[1000, <class 'int'>]",2.86102294921875e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
13,jump_sorted,"[1000, <class 'int'>]",3.814697265625e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
14,jump_sorted,"[1000, <class 'int'>]",4.76837158203125e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
15,jump_sorted,"[1000, <class 'int'>]",7.152557373046875e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
16,jump_sorted,"[1000, <class 'int'>]",7.62939453125e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
17,jump_sorted,"[1000, <class 'int'>]",5.245208740234375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
18,jump_sorted,"[1000, <class 'int'>]",5.0067901611328125e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
19,jump_sorted,"[1000, <class 'int'>]",5.245208740234375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
20,jump_sorted,"[1000, <class 'int'>]",5.9604644775390625e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
21,jump_sorted,"[1000, <class 'int'>]",2.86102294921875e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
22,jump_sorted,"[1000, <class 'int'>]",8.58306884765625e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
23,jump_sorted,"[1000, <class 'int'>]",7.152557373046875e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
24,jump_sorted,"[1000, <class 'int'>]",5.9604644775390625e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
25,jump_sorted,"[1000, <class 'int'>]",4.5299530029296875e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
26,jump_sorted,"[1000, <class 'int'>]",5.4836273193359375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
27,jump_sorted,"[1000, <class 'int'>]",5.4836273193359375e-06,"{'found': False, 'index': -1}",1000,<class 'int'>
