,function,parameterLengths,seconds,returned,param1,param2
0,linear_unsorted,"[1000, <class 'int'>]",3.504753112792969e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
1,linear_unsorted,"[1000, <class 'int'>]",3.504753112792969e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
2,linear_unsorted,"[1000, <class 'int'>]",3.504753112792969e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
3,linear_unsorted,"[1000, <class 'int'>]",3.266334533691406e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
4,linear_unsorted,"[1000, <class 'int'>]",3.504753112792969e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
5,linear_unsorted,"[1000, <class 'int'>]",3.4332275390625e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
6,linear_unsorted,"[1000, <class 'int'>]",3.24249267578125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
7,linear_unsorted,"[1000, <class 'int'>]",3.170967102050781e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
8,linear_unsorted,"[1000, <class 'int'>]",3.266334533691406e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
9,linear_unsorted,"[1000, <class 'int'>]",3.743171691894531e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
10,linear_unsorted,"[1000, <class 'int'>]",3.24249267578125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
11,linear_unsorted,"[1000, <class 'int'>]",3.5762786865234375e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
12,linear_unsorted,"[1000, <class 'int'>]",3.266334533691406e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
13,linear_unsorted,"[1000, <class 'int'>]",3.600120544433594e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
14,linear_unsorted,"[1000, <class 'int'>]",3.409385681152344e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
15,linear_unsorted,"[1000, <class 'int'>]",3.528594970703125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
16,linear_unsorted,"[1000, <class 'int'>]",3.266334533691406e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
17,linear_unsorted,"[1000, <class 'int'>]",3.337860107421875e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
18,linear_unsorted,"[1000, <class 'int'>]",3.5762786865234375e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
19,linear_unsorted,"[1000, <class 'int'>]",3.24249267578125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
20,linear_unsorted,"[1000, <class 'int'>]",3.528594970703125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
21,linear_unsorted,"[1000, <class 'int'>]",3.552436828613281e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
22,linear_unsorted,"[1000, <class 'int'>]",3.218650817871094e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
23,linear_unsorted,"[1000, <class 'int'>]",3.4809112548828125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
24,linear_unsorted,"[1000, <class 'int'>]",3.409385681152344e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
25,linear_unsorted,"[1000, <class 'int'>]",3.4332275390625e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
26,linear_unsorted,"[1000, <class 'int'>]",3.218650817871094e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
27,linear_unsorted,"[1000, <class 'int'>]",3.457069396972656e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
28,linear_unsorted,"[1000, <class 'int'>]",3.528594970703125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
29,linear_unsorted,"[1000, <class 'int'>]",3.314018249511719e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
30,linear_unsorted,"[1000, <class 'int'>]",3.504753112792969e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
31,linear_unsorted,"[1000, <class 'int'>]",3.528594970703125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
32,linear_unsorted,"[1000, <class 'int'>]",3.4332275390625e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
33,linear_unsorted,"[1000, <class 'int'>]",3.743171691894531e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
34,linear_unsorted,"[1000, <class 'int'>]",3.3855438232421875e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
35,linear_unsorted,"[1000, <class 'int'>]",3.409385681152344e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
36,linear_unsorted,"[1000, <class 'int'>]",3.528594970703125e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
37,linear_unsorted,"[1000, <class 'int'>]",3.457069396972656e-05,"{'found': False, 'index': -1}",1000,<class 'int'>
