,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
0,3.1948089599609375e-05,3.814697265625e-06,1.1920928955078125e-05,True,1000,69677
1,4.5299530029296875e-06,3.0994415283203125e-06,3.814697265625e-06,False,1000,7079
2,4.0531158447265625e-06,2.6226043701171875e-06,3.337860107421875e-06,True,1000,5863
3,2.0742416381835938e-05,3.337860107421875e-06,5.7220458984375e-06,False,1000,48472
4,2.384185791015625e-06,1.9073486328125e-06,3.814697265625e-06,True,1000,3237
5,6.67572021484375e-06,2.1457672119140625e-06,3.337860107421875e-06,False,1000,14812
6,1.1920928955078125e-05,2.6226043701171875e-06,5.0067901611328125e-06,True,1000,28104
7,1.239776611328125e-05,2.86102294921875e-06,4.76837158203125e-06,False,1000,30155
8,3.62396240234375e-05,2.6226043701171875e-06,7.867813110351562e-06,True,1000,64609
9,4.696846008300781e-05,3.0994415283203125e-06,8.821487426757812e-06,False,1000,99667
10,3.170967102050781e-05,2.6226043701171875e-06,7.62939453125e-06,True,1000,71742
11,4.76837158203125e-06,2.1457672119140625e-06,3.337860107421875e-06,False,1000,6494
12,3.457069396972656e-05,2.384185791015625e-06,7.62939453125e-06,True,1000,78155
13,1.430511474609375e-06,2.6226043701171875e-06,2.1457672119140625e-06,False,1000,605
14,1.7404556274414062e-05,2.6226043701171875e-06,5.7220458984375e-06,True,1000,40214
15,4.172325134277344e-05,2.384185791015625e-06,8.344650268554688e-06,False,1000,94481
16,4.291534423828125e-06,2.384185791015625e-06,3.0994415283203125e-06,True,1000,7143
17,4.029273986816406e-05,2.1457672119140625e-06,8.821487426757812e-06,False,1000,89843
18,2.4318695068359375e-05,2.6226043701171875e-06,5.9604644775390625e-06,True,1000,52498
19,2.193450927734375e-05,2.86102294921875e-06,5.9604644775390625e-06,False,1000,49419
20,7.867813110351562e-06,2.384185791015625e-06,3.814697265625e-06,True,1000,16055
21,4.076957702636719e-05,2.86102294921875e-06,7.62939453125e-06,False,1000,86729
22,2.193450927734375e-05,1.9073486328125e-06,6.198883056640625e-06,True,1000,46380
23,5.4836273193359375e-06,2.6226043701171875e-06,3.337860107421875e-06,False,1000,10231
24,3.504753112792969e-05,2.384185791015625e-06,7.867813110351562e-06,True,1000,75418
25,8.344650268554688e-06,2.384185791015625e-06,3.337860107421875e-06,False,1000,16869
26,2.47955322265625e-05,1.9073486328125e-06,5.9604644775390625e-06,True,1000,56708
27,3.8623809814453125e-05,2.86102294921875e-06,7.62939453125e-06,False,1000,87580
28,6.4373016357421875e-06,2.384185791015625e-06,3.0994415283203125e-06,True,1000,12592
29,1.5497207641601562e-05,2.6226043701171875e-06,4.0531158447265625e-06,False,1000,33953
30,3.170967102050781e-05,2.384185791015625e-06,8.344650268554688e-06,True,1000,72062
31,6.4373016357421875e-06,2.384185791015625e-06,3.0994415283203125e-06,False,1000,14043
32,2.09808349609375e-05,2.1457672119140625e-06,5.7220458984375e-06,True,1000,47021
33,2.384185791015625e-05,2.6226043701171875e-06,5.245208740234375e-06,False,1000,52614
34,1.430511474609375e-05,2.384185791015625e-06,4.5299530029296875e-06,True,1000,32224
35,2.6226043701171875e-05,2.6226043701171875e-06,6.4373016357421875e-06,False,1000,53400
36,1.5497207641601562e-05,2.384185791015625e-06,4.76837158203125e-06,True,1000,33848
37,3.3855438232421875e-05,2.6226043701171875e-06,8.344650268554688e-06,False,1000,72769
