,linear_unsorted,sentinel_unsorted,found,param_1_length,param_2_value
0,3.981590270996094e-05,5.984306335449219e-05,True,1000,40703
1,3.170967102050781e-05,5.364418029785156e-05,False,1000,648
2,5.245208740234375e-06,9.775161743164062e-06,True,1000,52729
3,3.337860107421875e-05,5.507469177246094e-05,False,1000,12247
4,1.2159347534179688e-05,2.09808349609375e-05,True,1000,26722
5,3.552436828613281e-05,6.794929504394531e-05,False,1000,29225
6,2.956390380859375e-05,4.982948303222656e-05,True,1000,2784
7,3.504753112792969e-05,5.650520324707031e-05,False,1000,34337
8,2.5033950805664062e-05,3.981590270996094e-05,True,1000,49882
9,3.4332275390625e-05,5.626678466796875e-05,False,1000,29339
10,1.621246337890625e-05,2.7179718017578125e-05,True,1000,62532
11,3.552436828613281e-05,5.7220458984375e-05,False,1000,58519
12,1.7642974853515625e-05,2.956390380859375e-05,True,1000,31290
13,3.170967102050781e-05,5.459785461425781e-05,False,1000,93870
14,1.9073486328125e-06,4.0531158447265625e-06,True,1000,66080
15,3.5762786865234375e-05,5.745887756347656e-05,False,1000,36493
16,1.3589859008789062e-05,2.3365020751953125e-05,True,1000,75578
17,3.457069396972656e-05,5.602836608886719e-05,False,1000,70529
18,2.002716064453125e-05,3.361701965332031e-05,True,1000,75794
19,3.2901763916015625e-05,5.53131103515625e-05,False,1000,89749
20,9.059906005859375e-06,1.71661376953125e-05,True,1000,2657
21,3.552436828613281e-05,5.6743621826171875e-05,False,1000,66825
22,2.1457672119140625e-06,4.5299530029296875e-06,True,1000,95740
23,3.504753112792969e-05,5.602836608886719e-05,False,1000,25024
24,1.5974044799804688e-05,2.6941299438476562e-05,True,1000,66010
25,3.147125244140625e-05,5.340576171875e-05,False,1000,419
26,2.6226043701171875e-06,5.7220458984375e-06,True,1000,68494
27,3.4809112548828125e-05,5.626678466796875e-05,False,1000,29901
28,1.5497207641601562e-05,2.574920654296875e-05,True,1000,60392
29,3.528594970703125e-05,5.698204040527344e-05,False,1000,33389
30,2.956390380859375e-05,5.14984130859375e-05,True,1000,97401
31,3.528594970703125e-05,5.7220458984375e-05,False,1000,38584
32,1.3589859008789062e-05,2.3603439331054688e-05,True,1000,42232
33,3.5762786865234375e-05,5.698204040527344e-05,False,1000,49223
34,1.239776611328125e-05,2.2172927856445312e-05,True,1000,11336
35,3.552436828613281e-05,5.53131103515625e-05,False,1000,35893
36,9.059906005859375e-06,1.7404556274414062e-05,True,1000,97913
37,3.170967102050781e-05,5.269050598144531e-05,False,1000,95668
38,7.3909759521484375e-06,1.5020370483398438e-05,True,1000,97498
39,3.552436828613281e-05,5.507469177246094e-05,False,1000,38046
40,6.9141387939453125e-06,1.3113021850585938e-05,True,1000,60491
41,3.600120544433594e-05,5.698204040527344e-05,False,1000,64089
