,function,parameterLengths,seconds,returned,param1,param2
0,strazsas_unsorted,"[1001, <class 'int'>]",9.036064147949219e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
1,strazsas_unsorted,"[1001, <class 'int'>]",8.392333984375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
2,strazsas_unsorted,"[1001, <class 'int'>]",8.392333984375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
3,strazsas_unsorted,"[1001, <class 'int'>]",7.843971252441406e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
4,strazsas_unsorted,"[1001, <class 'int'>]",7.295608520507812e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
5,strazsas_unsorted,"[1001, <class 'int'>]",5.841255187988281e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
6,strazsas_unsorted,"[1001, <class 'int'>]",5.316734313964844e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
7,strazsas_unsorted,"[1001, <class 'int'>]",5.1975250244140625e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
8,strazsas_unsorted,"[1001, <class 'int'>]",5.269050598144531e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
9,strazsas_unsorted,"[1001, <class 'int'>]",5.2928924560546875e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
10,strazsas_unsorted,"[1001, <class 'int'>]",5.316734313964844e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
11,strazsas_unsorted,"[1001, <class 'int'>]",2.6226043701171875e-05,"{'found': True, 'index': 482}",1001,<class 'int'>
12,strazsas_unsorted,"[1001, <class 'int'>]",5.1021575927734375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
13,strazsas_unsorted,"[1001, <class 'int'>]",5.1021575927734375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
14,strazsas_unsorted,"[1001, <class 'int'>]",5.2928924560546875e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
15,strazsas_unsorted,"[1001, <class 'int'>]",5.14984130859375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
16,strazsas_unsorted,"[1001, <class 'int'>]",5.2928924560546875e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
17,strazsas_unsorted,"[1001, <class 'int'>]",5.173683166503906e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
18,strazsas_unsorted,"[1001, <class 'int'>]",5.316734313964844e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
19,strazsas_unsorted,"[1001, <class 'int'>]",5.269050598144531e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
20,strazsas_unsorted,"[1001, <class 'int'>]",5.054473876953125e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
21,strazsas_unsorted,"[1001, <class 'int'>]",3.4809112548828125e-05,"{'found': True, 'index': 647}",1001,<class 'int'>
22,strazsas_unsorted,"[1001, <class 'int'>]",5.1975250244140625e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
23,strazsas_unsorted,"[1001, <class 'int'>]",5.2928924560546875e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
24,strazsas_unsorted,"[1001, <class 'int'>]",5.078315734863281e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
25,strazsas_unsorted,"[1001, <class 'int'>]",5.173683166503906e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
26,strazsas_unsorted,"[1001, <class 'int'>]",5.125999450683594e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
27,strazsas_unsorted,"[1001, <class 'int'>]",5.1021575927734375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
28,strazsas_unsorted,"[1001, <class 'int'>]",5.555152893066406e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
29,strazsas_unsorted,"[1001, <class 'int'>]",5.221366882324219e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
30,strazsas_unsorted,"[1001, <class 'int'>]",5.1975250244140625e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
31,strazsas_unsorted,"[1001, <class 'int'>]",4.982948303222656e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
32,strazsas_unsorted,"[1001, <class 'int'>]",5.14984130859375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
33,strazsas_unsorted,"[1001, <class 'int'>]",5.4836273193359375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
34,strazsas_unsorted,"[1001, <class 'int'>]",5.14984130859375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
35,strazsas_unsorted,"[1001, <class 'int'>]",5.1975250244140625e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
36,strazsas_unsorted,"[1001, <class 'int'>]",5.221366882324219e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
37,strazsas_unsorted,"[1001, <class 'int'>]",5.221366882324219e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
38,strazsas_unsorted,"[1001, <class 'int'>]",5.269050598144531e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
39,strazsas_unsorted,"[1001, <class 'int'>]",5.221366882324219e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
40,strazsas_unsorted,"[1001, <class 'int'>]",5.245208740234375e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
41,strazsas_unsorted,"[1001, <class 'int'>]",5.269050598144531e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
42,strazsas_unsorted,"[1001, <class 'int'>]",5.316734313964844e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
43,strazsas_unsorted,"[1001, <class 'int'>]",5.221366882324219e-05,"{'found': False, 'index': -1}",1001,<class 'int'>
