,function,parameterLengths,seconds,lengthOfReturned,param1,param2
0,union,"[1000, 1000]",0.0996098518371582,1989,1000,1000
1,union,"[1000, 1000]",0.0892496109008789,1986,1000,1000
2,union,"[1000, 1000]",0.08987736701965332,1990,1000,1000
3,union,"[1000, 1000]",0.09018707275390625,1984,1000,1000
4,union,"[1000, 1000]",0.09029197692871094,1993,1000,1000
5,union,"[1000, 1000]",0.08927202224731445,1986,1000,1000
6,union,"[1000, 1000]",0.08989763259887695,1992,1000,1000
7,union,"[1000, 1000]",0.08978915214538574,1988,1000,1000
8,union,"[1000, 1000]",0.09031414985656738,1990,1000,1000
9,union,"[1000, 1000]",0.09003400802612305,1992,1000,1000
10,union,"[1000, 2000]",0.1808304786682129,2978,1000,2000
11,union,"[1000, 2000]",0.18190717697143555,2980,1000,2000
12,union,"[1000, 2000]",0.18114256858825684,2979,1000,2000
13,union,"[1000, 2000]",0.18062210083007812,2978,1000,2000
14,union,"[1000, 2000]",0.1814098358154297,2989,1000,2000
15,union,"[1000, 2000]",0.18123650550842285,2990,1000,2000
16,union,"[1000, 2000]",0.1806166172027588,2980,1000,2000
17,union,"[1000, 2000]",0.18027281761169434,2978,1000,2000
18,union,"[1000, 2000]",0.18033099174499512,2981,1000,2000
19,union,"[1000, 2000]",0.17998003959655762,2985,1000,2000
20,union,"[1000, 3000]",0.271465539932251,3967,1000,3000
21,union,"[1000, 3000]",0.2708125114440918,3968,1000,3000
22,union,"[1000, 3000]",0.27130770683288574,3965,1000,3000
23,union,"[1000, 3000]",0.27083301544189453,3962,1000,3000
24,union,"[1000, 3000]",0.26958465576171875,3960,1000,3000
25,union,"[1000, 3000]",0.271106481552124,3970,1000,3000
26,union,"[1000, 3000]",0.2694849967956543,3974,1000,3000
27,union,"[1000, 3000]",0.2706027030944824,3975,1000,3000
28,union,"[1000, 3000]",0.2695450782775879,3968,1000,3000
29,union,"[1000, 3000]",0.27034926414489746,3969,1000,3000
30,union,"[1000, 4000]",0.36047935485839844,4958,1000,4000
31,union,"[1000, 4000]",0.35872864723205566,4952,1000,4000
32,union,"[1000, 4000]",0.35944676399230957,4958,1000,4000
33,union,"[1000, 4000]",0.36035728454589844,4960,1000,4000
34,union,"[1000, 4000]",0.3585076332092285,4958,1000,4000
35,union,"[1000, 4000]",0.3608105182647705,4962,1000,4000
36,union,"[1000, 4000]",0.3660092353820801,4957,1000,4000
37,union,"[1000, 4000]",0.3664827346801758,4970,1000,4000
38,union,"[1000, 4000]",0.3617219924926758,4963,1000,4000
39,union,"[1000, 4000]",0.3593177795410156,4972,1000,4000
40,union,"[1000, 5000]",0.45848655700683594,5949,1000,5000
41,union,"[1000, 5000]",0.45216965675354004,5952,1000,5000
42,union,"[1000, 5000]",0.4545433521270752,5951,1000,5000
43,union,"[1000, 5000]",0.45450639724731445,5950,1000,5000
44,union,"[1000, 5000]",0.4600400924682617,5953,1000,5000
45,union,"[1000, 5000]",0.45337724685668945,5952,1000,5000
46,union,"[1000, 5000]",0.4530923366546631,5949,1000,5000
47,union,"[1000, 5000]",0.47644925117492676,5943,1000,5000
48,union,"[1000, 5000]",0.45854687690734863,5956,1000,5000
49,union,"[1000, 5000]",0.47486281394958496,5942,1000,5000
50,union,"[1000, 6000]",0.5526385307312012,6932,1000,6000
51,union,"[1000, 6000]",0.5391278266906738,6940,1000,6000
52,union,"[1000, 6000]",0.5794394016265869,6936,1000,6000
53,union,"[1000, 6000]",0.5374810695648193,6941,1000,6000
54,union,"[1000, 6000]",0.5436952114105225,6930,1000,6000
55,union,"[1000, 6000]",0.5395007133483887,6947,1000,6000
56,union,"[1000, 6000]",0.5436074733734131,6946,1000,6000
57,union,"[1000, 6000]",0.5426981449127197,6941,1000,6000
58,union,"[1000, 6000]",0.5403916835784912,6929,1000,6000
59,union,"[1000, 6000]",0.5440623760223389,6932,1000,6000
60,union,"[1000, 7000]",0.6375679969787598,7927,1000,7000
61,union,"[1000, 7000]",0.6298418045043945,7930,1000,7000
62,union,"[1000, 7000]",0.6333186626434326,7925,1000,7000
63,union,"[1000, 7000]",0.6308002471923828,7941,1000,7000
64,union,"[1000, 7000]",0.6301944255828857,7934,1000,7000
65,union,"[1000, 7000]",0.6288111209869385,7936,1000,7000
66,union,"[1000, 7000]",0.6340370178222656,7931,1000,7000
67,union,"[1000, 7000]",0.6278088092803955,7933,1000,7000
68,union,"[1000, 7000]",0.631171703338623,7924,1000,7000
69,union,"[1000, 7000]",0.6368191242218018,7921,1000,7000
70,union,"[1000, 8000]",0.7208917140960693,8922,1000,8000
71,union,"[1000, 8000]",0.7208073139190674,8925,1000,8000
72,union,"[1000, 8000]",0.7192842960357666,8927,1000,8000
73,union,"[1000, 8000]",0.7188408374786377,8927,1000,8000
74,union,"[1000, 8000]",0.7194478511810303,8916,1000,8000
75,union,"[1000, 8000]",0.7203612327575684,8934,1000,8000
76,union,"[1000, 8000]",0.7629818916320801,8913,1000,8000
77,union,"[1000, 8000]",0.7204039096832275,8914,1000,8000
78,union,"[1000, 8000]",0.7168853282928467,8927,1000,8000
79,union,"[1000, 8000]",0.7179882526397705,8933,1000,8000
80,union,"[1000, 9000]",0.8183248043060303,9919,1000,9000
81,union,"[1000, 9000]",0.8060116767883301,9902,1000,9000
82,union,"[1000, 9000]",0.81317138671875,9902,1000,9000
83,union,"[1000, 9000]",0.8112170696258545,9929,1000,9000
84,union,"[1000, 9000]",0.8116364479064941,9916,1000,9000
85,union,"[1000, 9000]",0.8121180534362793,9917,1000,9000
86,union,"[1000, 9000]",0.8134450912475586,9920,1000,9000
87,union,"[1000, 9000]",0.8099045753479004,9914,1000,9000
88,union,"[1000, 9000]",0.8092942237854004,9906,1000,9000
89,union,"[1000, 9000]",0.8110344409942627,9896,1000,9000
90,union,"[1000, 10000]",0.9013845920562744,10911,1000,10000
91,union,"[1000, 10000]",0.9017908573150635,10910,1000,10000
92,union,"[1000, 10000]",0.8992364406585693,10913,1000,10000
93,union,"[1000, 10000]",0.9006094932556152,10903,1000,10000
94,union,"[1000, 10000]",0.9007420539855957,10890,1000,10000
95,union,"[1000, 10000]",0.9041264057159424,10915,1000,10000
96,union,"[1000, 10000]",0.9088573455810547,10907,1000,10000
97,union,"[1000, 10000]",0.9029314517974854,10908,1000,10000
98,union,"[1000, 10000]",0.8994793891906738,10868,1000,10000
99,union,"[1000, 10000]",0.8972077369689941,10903,1000,10000
100,union,"[2000, 2000]",0.3840498924255371,3964,2000,2000
101,union,"[2000, 2000]",0.3633403778076172,3969,2000,2000
102,union,"[2000, 2000]",0.362471342086792,3964,2000,2000
103,union,"[2000, 2000]",0.3618016242980957,3955,2000,2000
104,union,"[2000, 2000]",0.36100101470947266,3968,2000,2000
105,union,"[2000, 2000]",0.35971784591674805,3963,2000,2000
106,union,"[2000, 2000]",0.3603386878967285,3956,2000,2000
107,union,"[2000, 2000]",0.3592555522918701,3957,2000,2000
108,union,"[2000, 2000]",0.363553524017334,3958,2000,2000
109,union,"[2000, 2000]",0.3631172180175781,3963,2000,2000
110,union,"[2000, 3000]",0.5382518768310547,4934,2000,3000
111,union,"[2000, 3000]",0.5444612503051758,4948,2000,3000
112,union,"[2000, 3000]",0.5382604598999023,4940,2000,3000
113,union,"[2000, 3000]",0.5402841567993164,4954,2000,3000
114,union,"[2000, 3000]",0.5378806591033936,4942,2000,3000
115,union,"[2000, 3000]",0.5390012264251709,4946,2000,3000
116,union,"[2000, 3000]",0.5393214225769043,4941,2000,3000
117,union,"[2000, 3000]",0.5417654514312744,4921,2000,3000
118,union,"[2000, 3000]",0.5402612686157227,4941,2000,3000
119,union,"[2000, 3000]",0.5423481464385986,4953,2000,3000
120,union,"[2000, 4000]",0.7274312973022461,5929,2000,4000
121,union,"[2000, 4000]",0.7210230827331543,5911,2000,4000
122,union,"[2000, 4000]",0.7222583293914795,5927,2000,4000
123,union,"[2000, 4000]",0.7233235836029053,5927,2000,4000
124,union,"[2000, 4000]",0.7656686305999756,5921,2000,4000
125,union,"[2000, 4000]",0.7244219779968262,5935,2000,4000
126,union,"[2000, 4000]",0.7199244499206543,5922,2000,4000
127,union,"[2000, 4000]",0.7855236530303955,5925,2000,4000
128,union,"[2000, 4000]",0.7223124504089355,5916,2000,4000
129,union,"[2000, 4000]",0.7266647815704346,5926,2000,4000
130,union,"[2000, 5000]",0.9130268096923828,6902,2000,5000
131,union,"[2000, 5000]",0.9004664421081543,6890,2000,5000
132,union,"[2000, 5000]",0.903719425201416,6912,2000,5000
133,union,"[2000, 5000]",0.8954422473907471,6913,2000,5000
134,union,"[2000, 5000]",0.9762604236602783,6890,2000,5000
135,union,"[2000, 5000]",0.8981606960296631,6890,2000,5000
136,union,"[2000, 5000]",0.9023647308349609,6904,2000,5000
137,union,"[2000, 5000]",0.9030559062957764,6893,2000,5000
138,union,"[2000, 5000]",0.9082186222076416,6919,2000,5000
139,union,"[2000, 5000]",0.9036891460418701,6899,2000,5000
